type,count,pct
"Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure",1,0.01
"Reality TV, TV Horror, TV Thrillers",1,0.01
"TV Comedies, TV Dramas, TV Horror",1,0.01
"Dramas, Music & Musicals, Sci-Fi & Fantasy",1,0.01
"Romantic TV Shows, TV Action & Adventure, TV Dramas",1,0.01
"International TV Shows, TV Action & Adventure, TV Horror",1,0.01
"TV Comedies, TV Dramas, TV Mysteries",1,0.01
"Docuseries, Science & Nature TV, TV Dramas",1,0.01
"Reality TV, Science & Nature TV, TV Action & Adventure",1,0.01
"British TV Shows, Docuseries, Reality TV",1,0.01
"Crime TV Shows, TV Dramas, TV Horror",1,0.01
"Comedies, Cult Movies, Independent Movies",1,0.01
"Action & Adventure, Horror Movies, Independent Movies",1,0.01
"British TV Shows, Docuseries, TV Comedies",1,0.01
"Cult Movies, Horror Movies, Thrillers",1,0.01
"Classic & Cult TV, Kids' TV, TV Action & Adventure",1,0.01
"TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows",1,0.01
"Action & Adventure, Classic Movies, International Movies",1,0.01
"Cult Movies, Independent Movies, Thrillers",1,0.01
"Comedies, Independent Movies, Music & Musicals",1,0.01
"TV Action & Adventure, TV Dramas, Teen TV Shows",1,0.01
"International TV Shows, Reality TV, TV Action & Adventure",1,0.01
"Action & Adventure, Anime Features, Classic Movies",1,0.01
"TV Dramas, TV Sci-Fi & Fantasy, TV Thrillers",1,0.01
"TV Action & Adventure, TV Horror, TV Sci-Fi & Fantasy",1,0.01
"British TV Shows, TV Dramas, TV Sci-Fi & Fantasy",1,0.01
"Anime Features, Music & Musicals",1,0.01
"Docuseries, Reality TV, Teen TV Shows",1,0.01
"Children & Family Movies, Classic Movies",1,0.01
"Comedies, Cult Movies, Sports Movies",1,0.01
"TV Horror, TV Mysteries, Teen TV Shows",1,0.01
"Action & Adventure, International Movies, Thrillers",1,0.01
"Anime Series, TV Horror, TV Thrillers",1,0.01
"Anime Series, Crime TV Shows, TV Thrillers",1,0.01
"Action & Adventure, Faith & Spirituality, Sci-Fi & Fantasy",1,0.01
"TV Dramas, TV Sci-Fi & Fantasy, Teen TV Shows",1,0.01
"Crime TV Shows, Romantic TV Shows, Spanish-Language TV Shows",1,0.01
"Crime TV Shows, International TV Shows, Reality TV",1,0.01
"International Movies, Romantic Movies, Sci-Fi & Fantasy",1,0.01
"Stand-Up Comedy & Talk Shows, TV Mysteries, TV Sci-Fi & Fantasy",1,0.01
"International TV Shows, Spanish-Language TV Shows, Stand-Up Comedy & Talk Shows",1,0.01
